Title:Design and development of Isatin-triazole hydrazones as potential inhibitors of microtubule affinity-regulating kinase 4 for the therapeutic management of cell proliferation and metastasis
DOI:10.1016/j.ejmech.2018.12.026
ligand name:9g
ligand smiles:COC1=CC=C(CN2C=C(C(=O)N/N=C3\C(=O)NC4=C3C=CC=C4C)N=N2)C=C1
key residue(hbond):Lys85;Asp196 d
key residue(hydrophobic):
PDB ID:
Binding Area:

#Binding and thermodynamic parameters#
parameter;
pH;
T;
KSV;
kq;
n;
K;
Ka;
Kb;60000000.0
ΔH;
ΔS;
ΔG;
Kd;


#ITC#
parameter;
pH;
T;
n;
K;
Ka;
Kb;12700.0
ΔH;
ΔS;
ΔG;
Cp;
Kd;


#UV-vis absorption spectroscopy#
parameter;
pH;
T;
n;
K;
Ka;
Kb;
ΔH;
ΔS;
ΔG;
Kd;


#other_method#
method;parameter;
parameter;
pH;
T;
n;
K;
Ka;
Kb;
ΔH;
ΔS;
ΔG;
Kd;


